City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
186,port macquarie,-31.4333,152.9167,28.27,62,83,2.64,AU,1675639634
187,matara,5.9485,80.5353,24.12,92,99,1.2,LK,1675639635
188,banda aceh,5.5577,95.3222,25.18,81,89,1.65,ID,1675639636
189,namanga,-2.5433,36.7905,18.46,60,13,1.52,KE,1675639637
190,chokurdakh,70.6333,147.9167,-41.14,100,66,0.51,RU,1675639638
191,longyearbyen,78.2186,15.6401,-2.09,74,75,8.75,SJ,1675639579
192,pevek,69.7008,170.3133,-36.36,97,86,1.63,RU,1675639639
193,tuatapere,-46.1333,167.6833,14.39,90,91,5.0,NZ,1675639639
194,thompson,55.7435,-97.8558,-13.91,85,100,1.54,CA,1675639640
195,vidim,56.4088,103.1106,-13.0,97,100,2.32,RU,1675639641
196,honiara,-9.4333,159.95,25.02,94,100,3.58,SB,1675639641
197,ponta do sol,32.6667,-17.1,16.35,52,34,2.13,PT,1675639642
198,staryy nadym,65.6118,72.6842,-24.33,100,100,2.29,RU,1675639643
199,segou,13.4317,-6.2157,26.03,14,75,4.12,ML,1675639643
200,yulara,-25.2406,130.9889,24.0,17,0,4.81,AU,1675639645
201,mount gambier,-37.8333,140.7667,16.89,63,36,2.27,AU,1675639645
202,cortez,37.3489,-108.5859,9.42,32,0,1.54,US,1675639339
203,novyy urengoy,66.0833,76.6333,-24.73,100,64,1.93,RU,1675639346
204,coos bay,43.3665,-124.2179,9.52,87,100,6.69,US,1675639646
205,samarai,-10.6167,150.6667,27.25,83,100,5.38,PG,1675639392
206,merauke,-8.4667,140.3333,26.18,87,99,3.47,ID,1675639647
207,walvis bay,-22.9575,14.5053,18.94,84,95,2.27,NA,1675639648
208,paamiut,61.994,-49.6678,-9.5,79,100,9.32,GL,1675639648
209,oxapampa,-10.5775,-75.4017,16.22,99,94,0.69,PE,1675639649
210,kalmunai,7.4167,81.8167,24.13,88,100,3.08,LK,1675639649
211,charlottesville,38.0293,-78.4767,11.36,37,0,2.57,US,1675639649
212,pochutla,15.7432,-96.4661,29.9,48,0,2.87,MX,1675639650
213,broome,42.2506,-75.833,6.0,56,100,5.14,US,1675639650
214,ponazyrevo,58.3578,46.3142,-13.2,98,98,0.68,RU,1675639651
215,mayo,38.8876,-76.5119,10.49,68,0,5.14,US,1675639651
216,poyarkovo,49.6,128.6833,-31.55,100,73,1.49,RU,1675639652
217,glendive,47.1053,-104.7125,5.79,65,0,3.6,US,1675639652
218,bethel,41.3712,-73.414,5.21,60,100,3.71,US,1675639569
219,assiniboia,49.6334,-105.9845,2.9,60,73,3.6,CA,1675639653
220,salalah,17.0151,54.0924,22.05,73,0,1.54,OM,1675639653
221,matamoros,25.5333,-103.25,26.06,17,0,3.09,MX,1675639321
222,hithadhoo,-0.6,73.0833,27.01,70,86,4.3,MV,1675639654
223,konstantinovka,49.6167,127.9833,-28.89,100,40,1.85,RU,1675639654
